date_time,Open,High,Low,Close,Volume ,KC_M_1,KC_U_1,KC_D_1,KC_M_2,KC_U_2,KC_D_2,KC_M_3,KC_U_3,KC_D_3,Donchian_High_3,Donchian_Low_3,ATR,EMA12,EMA30,cs_size,cs_body_size,cs_body_pos,cs_body_ratio,next_Low,next_High,next_Close,DOWN_next_Low_under_Close,DOWN_next_High_over_Close,UP_next_High_over_Close,UP_next_Low_under_Close,DOWN_next_Low_and_High,UP_next_Low_and_High,hour,day,month,year
2010-01-01 08:00:00,1.43297,1.43346,1.43218,1.43306,18182.8,,,,,,,,,,,,,,,0.00128,-8.99999999999e-05,1.433015,-0.000195,1.43207,1.43354,1.43337,0,0,0,0,0,0,8,4,1,2010
2010-01-01 12:00:00,1.43321,1.43354,1.43207,1.43337,15405.0,,,,,,,,,,,,,,,0.00147,-0.00016,1.43329,-0.000485,1.43225,1.43356,1.43342,0,0,0,0,0,0,12,4,1,2010
2010-01-01 16:00:00,1.43337,1.43356,1.43225,1.43342,13920.0,1.43299,1.43434333333,1.43163666667,1.43299,1.43434333333,1.43163666667,1.43299,1.43434333333,1.43163666667,1.43356,1.43207,,,,0.00131,-5.00000000001e-05,1.433395,-0.00049,1.43315,1.43356,1.43335,0,0,0,0,0,0,16,4,1,2010
2010-01-01 20:00:00,1.43331,1.43356,1.43315,1.43335,6956.1,1.43314111111,1.43420444444,1.43207777778,1.43314111111,1.43420444444,1.43207777778,1.43314111111,1.43420444444,1.43207777778,1.43356,1.43207,,,,0.00041,-3.99999999998e-05,1.43333,2.49999999999e-05,1.42951,1.43359,1.43141,1,0,0,1,0,0,20,4,1,2010
2010-01-03 20:00:00,1.43024,1.43359,1.42951,1.43141,3001.6,1.43264444444,1.43457777778,1.43071111111,1.43264444444,1.43457777778,1.43071111111,1.43264444444,1.43457777778,1.43071111111,1.43359,1.42951,0.0018175,,,0.00408,-0.00117,1.430825,0.000725,1.42559,1.43199,1.42832,1,0,0,1,0,0,20,6,1,2010
2010-01-04 00:00:00,1.43143,1.43199,1.42559,1.42832,9928.1,1.43116333333,1.43479333333,1.42753333333,1.43116333333,1.43479333333,1.42753333333,1.43116333333,1.43479333333,1.42753333333,1.43359,1.42559,0.002963125,,,0.0064,0.00311,1.429875,-0.001085,1.42664,1.43122,1.43028,0,0,1,0,0,0,0,0,1,2010
2010-01-04 04:00:00,1.42842,1.43122,1.42664,1.43028,13925.9,1.42983888889,1.43485888889,1.42481888889,1.42983888889,1.43485888889,1.42481888889,1.42983888889,1.43485888889,1.42481888889,1.43359,1.42559,0.00336734375,,,0.00458,-0.00186,1.42935,-0.00042,1.42972,1.4417,1.43885,0,0,1,0,0,0,4,0,1,2010
2010-01-04 08:00:00,1.43038,1.4417,1.42972,1.43885,15451.9,1.43159,1.43924333333,1.42393666667,1.43159,1.43924333333,1.42393666667,1.43159,1.43924333333,1.42393666667,1.4417,1.42559,0.0055205078125,,,0.01198,-0.00847,1.434615,0.001095,1.43843,1.44556,1.44369,0,0,1,0,0,0,8,0,1,2010
2010-01-04 12:00:00,1.43887,1.44556,1.43843,1.44369,18321.3,1.43623222222,1.44412888889,1.42833555556,1.43623222222,1.44412888889,1.42833555556,1.43623222222,1.44412888889,1.42833555556,1.44556,1.42664,0.00592288085938,,,0.00713,-0.00482,1.44128,0.000715,1.44076,1.44409,1.44107,1,0,0,1,0,0,12,0,1,2010
2010-01-04 16:00:00,1.44366,1.44409,1.44076,1.44107,12139.8,1.44043,1.44791,1.43295,1.44043,1.44791,1.43295,1.44043,1.44791,1.43295,1.44556,1.42972,0.00527466064453,,,0.00333,0.00259,1.442365,5.99999999999e-05,1.44001,1.44247,1.44244,0,0,0,0,0,0,16,0,1,2010
2010-01-04 20:00:00,1.44098,1.44247,1.44001,1.44244,10252.4,1.44205777778,1.44636444444,1.43775111111,1.44205777778,1.44636444444,1.43775111111,1.44205777778,1.44636444444,1.43775111111,1.44556,1.43843,0.0045709954834,,,0.00246,-0.00146,1.44171,-0.00047,1.44034,1.44395,1.44213,1,0,0,1,0,0,20,0,1,2010
2010-01-05 00:00:00,1.44238,1.44395,1.44034,1.44213,10034.0,1.44191777778,1.44505111111,1.43878444444,1.44191777778,1.44505111111,1.43878444444,1.44191777778,1.44505111111,1.43878444444,1.44409,1.44001,0.00433074661255,1.434935,,0.00361,0.00025,1.442255,-0.00011,1.44134,1.44834,1.44508,0,0,1,0,0,0,0,1,1,2010
2010-01-05 04:00:00,1.44213,1.44834,1.44134,1.44508,13865.7,1.4429,1.44725666667,1.43854333333,1.4429,1.44725666667,1.43854333333,1.4429,1.44725666667,1.43854333333,1.44834,1.44001,0.00499805995941,1.43604192308,,0.007,-0.00295,1.443605,0.001235,1.43971,1.44535,1.44167,1,0,0,1,0,0,4,1,1,2010
2010-01-05 08:00:00,1.44508,1.44535,1.43971,1.44167,15374.1,1.44310111111,1.44851777778,1.43768444444,1.44310111111,1.44851777778,1.43768444444,1.44310111111,1.44851777778,1.43768444444,1.44834,1.43971,0.00515854496956,1.43743239645,,0.00564,0.00341,1.443375,-0.000845,1.43864,1.44544,1.44145,1,0,1,1,0,1,8,1,1,2010
2010-01-05 12:00:00,1.44154,1.44544,1.43864,1.44145,18150.1,1.44300222222,1.44948222222,1.43652222222,1.44300222222,1.44948222222,1.43652222222,1.44300222222,1.44948222222,1.43652222222,1.44834,1.43864,0.00556890872717,1.43806433546,,0.0068,9.00000000001e-05,1.441495,0.000545,1.43445,1.44237,1.43684,1,0,0,1,0,0,12,1,1,2010
2010-01-05 16:00:00,1.4413,1.44237,1.43445,1.43684,12156.0,1.44065777778,1.44744444444,1.43387111111,1.44065777778,1.44744444444,1.43387111111,1.44065777778,1.44744444444,1.43387111111,1.44544,1.43445,0.00615668154538,1.43856213,,0.00792,0.00446,1.43907,-0.00066,1.43466,1.43729,1.43634,1,0,0,1,0,0,16,1,1,2010
2010-01-05 20:00:00,1.43685,1.43729,1.43466,1.43634,10307.2,1.43860888889,1.44439222222,1.43282555556,1.43860888889,1.44439222222,1.43282555556,1.43860888889,1.44439222222,1.43282555556,1.44544,1.43445,0.00527501115903,1.43829872539,,0.00263,0.00051,1.436595,-0.00062,1.43323,1.43686,1.43532,1,0,0,1,0,0,20,1,1,2010
